gaguilar       02/09/2010 07:44:19 D	1	0
randia         02/09/2010 07:51:10 D	1	0
lortuno        02/09/2010 08:00:24 D	1	0
nnumbela       02/09/2010 08:06:50 D	1	0
jevargas       02/09/2010 08:09:10 D	1	0
rmartinez      02/09/2010 08:11:10 0	1	0
vbadani        02/09/2010 08:13:56 D	1	0
asaldias       02/09/2010 08:14:03 D	1	0
eyrady         02/09/2010 08:18:29 D	1	0
jsolorzano     02/09/2010 08:19:08 D	1	0
gmontano       02/09/2010 08:19:17 D	1	0
jfuertes       02/09/2010 08:19:25 D	1	0
jgarcia        02/09/2010 08:19:33 D	1	0
jleano         02/09/2010 08:20:57 D	1	0
hvillegas      02/09/2010 08:21:14 D	1	0
mgrandillert   02/09/2010 08:23:09 D	0	0
rcoronel       02/09/2010 08:23:15 D	1	0
vsoliz         02/09/2010 08:26:03 D	1	0
jcanedo        02/09/2010 08:28:20 D	1	0
rvera          02/09/2010 08:29:10 D	1	0
jvargas        02/09/2010 08:29:19 D	1	0
rsoliz         02/09/2010 08:29:26 D	1	0
nzurita        02/09/2010 08:29:51 D	1	0
aencinas       02/09/2010 08:31:36 D	1	0
tescriva       02/09/2010 08:32:17 D	0	0
fsanchez       02/09/2010 08:32:57 D	1	0
despinoza      02/09/2010 08:34:12 D	1	0
aponce         02/09/2010 08:34:18 D	1	0
rcordero       02/09/2010 08:38:52 D	1	0
ecotana        02/09/2010 08:39:55 D	0	0
vdaga          02/09/2010 08:42:18 D	1	0
eudaeta        02/09/2010 08:43:31 D	1	0
fmeza          02/09/2010 08:46:20 D	1	0
lgalindo       02/09/2010 08:46:27 D	1	0
ozarate        02/09/2010 08:50:39 D	1	0
lsaravia       02/09/2010 09:02:23 D	1	0
gmontano       02/09/2010 10:44:02 D	1	0
gmontano       02/09/2010 11:50:22 D	1	0
eyrady         02/09/2010 12:24:56 0	1	0
jcanedo        02/09/2010 12:29:46 0	1	0
jvargas        02/09/2010 12:29:55 0	1	0
gmontano       02/09/2010 12:30:06 0	1	0
rmartinez      02/09/2010 12:31:01 0	1	0
lsaravia       02/09/2010 12:31:12 0	1	0
ecotana        02/09/2010 12:31:36 D	0	0
jgarcia        02/09/2010 12:31:45 D	1	0
lortuno        02/09/2010 12:32:47 0	1	0
asaldias       02/09/2010 12:33:44 0	1	0
vbadani        02/09/2010 12:36:09 0	1	0
czamora        02/09/2010 12:36:25 0	1	0
jsolorzano     02/09/2010 12:36:38 0	1	0
fsanchez       02/09/2010 12:36:47 0	1	0
jpinto         02/09/2010 12:36:55 0	1	0
dcastro        02/09/2010 12:37:02 0	1	0
lgalindo       02/09/2010 12:37:22 0	1	0
nzurita        02/09/2010 12:37:36 0	1	0
fmeza          02/09/2010 12:38:36 0	1	0
mgrandillert   02/09/2010 12:40:47 0	0	0
aponce         02/09/2010 12:42:21 0	1	0
baranibar      02/09/2010 12:42:53 0	1	0
rvera          02/09/2010 12:44:42 0	1	0
